bodyDrift,colorShift,condition,error,id,image,latency,ok,pass,reasons,skinGain,structureChange,verdict
0.101,0.9,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/baseline/viton_12396_00_slightly_tight.png,17.9,True,baseline,,0.0062,11.104,slightly_tight
0.043,3.528,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/baseline/viton_12396_00_tight.png,13.41,True,baseline,,0.0195,16.538,tight
0.051,4.859,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_very_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/baseline/viton_12396_00_very_tight.png,13.43,True,baseline,,0.0388,15.455,very_tight
0.13,20.764,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_slightly_loose,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/baseline/viton_12396_00_slightly_loose.png,13.39,True,baseline,,-0.0324,29.614,slightly_loose
0.089,7.044,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/baseline/viton_04066_00_slightly_tight.png,13.46,True,baseline,,0.058,11.083,slightly_tight
0.201,4.826,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/baseline/viton_04066_00_tight.png,13.48,True,baseline,,-0.0077,13.821,tight
0.15,4.439,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_very_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/baseline/viton_04066_00_very_tight.png,13.4,True,baseline,,0.0682,12.403,very_tight
0.153,6.899,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_loose,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/baseline/viton_04066_00_loose.png,13.42,True,baseline,,-0.1047,23.738,loose
0.147,1.677,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/lora/viton_12396_00_slightly_tight.png,19.24,True,lora,,0.0287,16.827,slightly_tight
0.024,2.361,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/lora/viton_12396_00_tight.png,14.52,True,lora,,0.029,19.542,tight
0.094,2.008,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_very_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/lora/viton_12396_00_very_tight.png,14.55,True,lora,,0.0225,15.781,very_tight
0.159,27.127,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_slightly_loose,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/lora/viton_12396_00_slightly_loose.png,14.5,True,lora,,-0.0479,38.758,slightly_loose
0.072,3.206,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/lora/viton_04066_00_slightly_tight.png,14.52,True,lora,,-0.0237,13.763,slightly_tight
,,,HTTP 409,viton_04066_00_tight,,1.76,False,lora,,,,tight
0.126,3.651,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_very_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/lora/viton_04066_00_very_tight.png,14.56,True,lora,,-0.0053,13.616,very_tight
0.324,18.723,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_loose,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083551/lora/viton_04066_00_loose.png,14.78,False,lora,body_changed_not_garment,-0.1805,32.072,loose
