bodyDrift,colorShift,condition,error,id,image,latency,ok,pass,reasons,skinGain,structureChange,verdict
0.101,0.9,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/baseline/viton_12396_00_slightly_tight.png,20.42,True,baseline,,0.0062,11.104,slightly_tight
0.043,3.528,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/baseline/viton_12396_00_tight.png,13.38,True,baseline,,0.0195,16.538,tight
0.051,4.859,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_very_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/baseline/viton_12396_00_very_tight.png,13.44,True,baseline,,0.0388,15.455,very_tight
0.13,20.764,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_slightly_loose,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/baseline/viton_12396_00_slightly_loose.png,13.37,True,baseline,,-0.0324,29.614,slightly_loose
0.089,7.044,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/baseline/viton_04066_00_slightly_tight.png,13.43,True,baseline,,0.058,11.083,slightly_tight
0.201,4.826,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/baseline/viton_04066_00_tight.png,13.42,True,baseline,,-0.0077,13.821,tight
0.15,4.439,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_very_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/baseline/viton_04066_00_very_tight.png,13.32,True,baseline,,0.0682,12.403,very_tight
0.153,6.899,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_loose,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/baseline/viton_04066_00_loose.png,13.41,True,baseline,,-0.1047,23.738,loose
0.171,2.111,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/lora/viton_12396_00_slightly_tight.png,19.31,True,lora,,0.0163,15.965,slightly_tight
0.043,2.773,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/lora/viton_12396_00_tight.png,14.56,True,lora,,0.0288,12.26,tight
0.031,3.748,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_very_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/lora/viton_12396_00_very_tight.png,14.56,True,lora,,0.0309,14.061,very_tight
0.179,27.821,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_slightly_loose,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/lora/viton_12396_00_slightly_loose.png,14.61,True,lora,,-0.0397,38.527,slightly_loose
0.076,3.11,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/lora/viton_04066_00_slightly_tight.png,14.66,True,lora,,-0.0258,12.168,slightly_tight
0.127,6.161,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/lora/viton_04066_00_tight.png,14.72,True,lora,,-0.0606,16.5,tight
0.131,3.414,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_very_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/lora/viton_04066_00_very_tight.png,14.55,True,lora,,-0.0209,13.666,very_tight
0.277,17.022,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_loose,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-083126/lora/viton_04066_00_loose.png,14.56,False,lora,body_changed_not_garment,-0.1814,29.881,loose
